,ScorePerSentence
868,16.0529
869,17.7474
870,31.1471
871,39.2153
872,36.7305
873,44.8874
874,7.3249
875,55.2219
876,32.3744
877,39.4753
878,41.4598
879,26.6479
880,100.0
881,56.5912
882,57.0675
883,47.0319
884,60.6121
885,22.2425
886,10.7537
887,48.0146
888,53.5946
889,3.7968
890,29.9499
891,32.7287
892,17.3958
893,7.2399
894,9.0091
895,62.8987
896,17.1127
897,28.6561
898,47.5113
899,17.262
900,63.8194
901,20.9436
902,43.504
903,54.4518
904,48.4427
905,22.5621
906,53.352
907,36.8279
908,50.9639
909,63.1407
910,16.9064
911,17.4933
912,21.3938
913,43.0617
914,60.2752
915,13.5404
916,5.7956
917,69.8931
918,26.2959
919,100.0
920,68.993
921,41.2615
922,9.6765
923,10.5215
924,48.0198
925,41.9794
926,28.2836
927,23.9942
928,14.5303
929,43.9653
930,69.4127
931,13.1595
932,43.3201
933,80.9107
934,60.0536
935,13.0651
936,7.9559
937,77.7811
938,24.979
939,22.7586
940,16.2793
941,64.5093
942,22.995
943,18.4565
944,51.0864
945,43.5949
946,17.8443
947,41.1134
948,42.6436
949,30.8808
950,14.2737
951,4.9969
952,13.7759
953,24.0085
954,4.8751
955,20.5567
956,23.1147
957,43.3206
958,40.1065
959,29.3051
960,34.1399
961,53.3168
962,72.0039
963,31.0971
964,34.858
965,50.0
966,66.9773
967,40.9318
968,10.2972
969,32.8744
970,16.7648
971,41.0274
972,36.2841
973,50.7843
974,86.334
975,43.3199
976,21.1525
977,13.0651
978,5.3002
979,39.1654
980,32.9201
981,49.7009
982,7.4259
983,56.9599
984,48.7551
985,29.1062
986,27.1235
987,20.1509
988,46.7064
989,29.5962
990,25.3958
991,15.7333
992,20.3317
993,17.5823
994,6.4372
995,21.6312
996,45.6258
997,30.0267
998,77.4251
999,37.3306
1000,57.2975
1001,40.8057
1002,21.429
1003,40.2767
1004,78.8634
1005,11.2249
1006,47.227
1007,7.9223
1008,17.5931
1009,21.2006
1010,6.5673
1011,37.7006
1012,63.4324
1013,70.0771
1014,64.5743
1015,69.3328
1016,100.0
1017,61.5879
1018,47.7503
1019,56.3313
1020,30.2138
1021,49.9222
1022,33.5357
1023,57.8357
1024,12.7647
1025,24.016
1026,19.8672
1027,57.8172
1028,52.664
1029,68.0375
1030,36.7944
1031,40.8495
1032,45.3594
1033,43.4567
1034,23.1243
1035,45.6315
1036,55.064
1037,48.3379
1038,51.3345
1039,54.4836
1040,40.1935
1041,21.3146
1042,28.9263
1043,10.3074
1044,19.6854
1045,38.5032
1046,16.2617
1047,61.7069
1048,68.6507
1049,12.8278
1050,37.9101
1051,29.3772
1052,25.9842
1053,43.2613
1054,38.8201
1055,66.8195
1056,40.2019
1057,66.4901
1058,36.9307
1059,6.5673
1060,47.9237
1061,17.7529
1062,11.0923
1063,42.1689
1064,64.2504
1065,22.2577
1066,59.9782
1067,32.2679
1068,29.3001
1069,23.5574
1070,12.5493
1071,7.2679
1072,38.9799
1073,59.6949
1074,22.3551
1075,61.3674
1076,25.4918
1077,43.0692
1078,41.4905
1079,36.7334
1080,22.0618
1081,26.9786
1082,15.034
1083,22.7868
1084,28.4893
1085,46.1542
1086,37.9918
1087,33.1428
1088,51.7375
1089,17.0443
1090,43.363
1091,34.6402
1092,29.5387
